pop,entry,DTH,TW,GN,GY,HI,FE
2,1,92.1790241,29.85817932,23823.51707,7.149757124,0.431175454,68.99827445
2,2,92.1790241,30.71817932,21125.6085,6.521185695,0.380423438,53.59256017
2,4,91.9691558,35.77817932,16893.43707,6.075471409,0.374069165,56.87256017
2,5,92.9691558,28.65558413,16706.96969,4.859605046,0.437996971,45.80871611
2,7,99.88455759,25.94741781,21350.39508,5.891397648,0.335896627,33.02466492
2,8,85.88455759,34.08375046,13242.59571,4.284955302,0.326295942,31.34705304
2,9,100.1790241,22.68741781,26967.70936,6.451397648,0.372340513,53.82466492
2,10,73.03179084,34.51748792,16731.97467,5.016932307,0.476321538,43.99988281
2,14,91.9691558,22.32817932,20292.41993,4.566899981,0.375676949,74.0611316
2,15,78.88455759,29.95191678,18450.2446,5.024591272,0.387826539,35.46824709
2,16,92.88455759,NA,NA,NA,NA,NA
2,18,90.04344111,30.3633697,20362.68043,6.130061278,0.417552221,61.66310541
2,20,NA,NA,NA,NA,NA,NA
2,21,79.04344111,34.07191678,16911.07889,5.2531627,0.416220675,44.29110423
2,23,92.88455759,28.73558413,22670.48969,6.585319331,0.454556274,53.90014469
2,24,79.04344111,33.86191678,14615.65032,4.418876986,0.419003608,29.54824709
2,25,66.04344111,40.54565424,15615.80641,5.276568277,0.40886899,42.48679115
2,26,99.88455759,33.36741781,18182.38365,6.428540505,0.430293635,41.8703792
2,28,99.99498253,31.77741781,16337.06936,5.559969076,0.4491082,46.31609349
2,30,91.99498253,30.75817932,16828.69422,5.206899981,0.385370602,53.05541731
2,31,78.88455759,36.92191678,15468.49603,5.196019843,0.338292331,40.11967566
2,32,86.1790241,31.83375046,16790.43571,5.119241016,0.413132867,50.26133875
2,33,85.88455759,28.09375046,19606.05857,5.290669588,0.418811597,50.03276732
2,34,85.99498253,39.28375046,15378.41285,5.816383873,0.405304092,41.26705304
2,35,70.9691558,37.3926783,13329.41231,4.111522176,0.415727501,36.24185663
2,36,85.99498253,30.58375046,13000.48143,3.747812445,0.378327495,39.55276732
2,37,70.88455759,30.5726783,21382.68088,5.722950748,0.455002532,44.36757091
2,38,85.88455759,32.33375046,11488.72143,3.484955302,0.357951591,35.09562446
2,39,72.88455759,31.03748792,16423.95181,4.331218021,0.40136956,44.30845424
2,42,70.88455759,30.8626783,11378.17803,2.602950748,0.383440273,27.99042806
2,43,72.88455759,28.54748792,18171.20896,4.422646593,0.383971646,48.4455971
2,44,70.88455759,38.3726783,18713.86946,6.362950748,0.430194937,39.71614234
2,45,73.04344111,33.91748792,14744.18039,4.216932307,0.385520167,35.43988281
2,46,71.03179084,33.6826783,20098.26946,5.951522176,0.43289382,50.03614234
2,49,79.1790241,31.65191678,8242.061746,2.041734129,0.300304215,38.24538995
2,50,86.1790241,31.31375046,16742.77857,5.027812445,0.39562465,54.64991018
2,51,92.99498253,28.07558413,19706.24969,5.602462189,0.371122132,47.86585897
2,53,90.1790241,33.5933697,23725.29757,7.924346993,0.464114584,54.69167684
2,55,72.88455759,29.78748792,17945.30039,4.582646593,0.383825781,42.70845424
2,56,91.88455759,28.80817932,23835.59707,6.898328552,0.443320014,64.7011316
2,57,90.03179084,34.5933697,23815.51471,8.187204135,0.424665633,42.15453398
2,59,100.1790241,26.44741781,18997.90365,5.388540505,0.391794961,56.07609349
2,60,86.04344111,36.64375046,18616.89285,6.604955302,0.413096975,33.54133875
2,61,100.0317908,36.77741781,17610.23508,6.839969076,0.42096518,37.09323635
2,63,78.88455759,38.93191678,18519.75318,6.716019843,0.440787053,38.3825328
2,64,72.88455759,31.31748792,21701.03753,6.068360879,0.373219417,43.29131139
2,65,106.0317908,32.05184667,26885.39644,9.167628041,0.408116308,47.72731491
2,66,72.9691558,38.74748792,19177.88324,6.696932307,0.44182282,40.03416853
2,67,99.88455759,25.66741781,23995.96079,6.508540505,0.3704983,60.33895063
2,68,91.9691558,34.76817932,19570.57993,6.829757124,0.433052132,46.6211316
2,69,99.88455759,31.84741781,10486.04079,3.731397648,0.383172538,35.51609349
2,70,92.88455759,31.01558413,14960.82111,4.722462189,0.418209786,37.22585897
2,73,71.04344111,29.3126783,21855.46946,5.597236462,0.435000616,58.20757091
2,74,92.04344111,28.60817932,21994.13422,6.326899981,0.419988735,60.96398874
2,75,92.03179084,30.00817932,18714.35136,5.652614266,0.40125338,49.14684588
2,76,70.88455759,36.9126783,21995.45803,7.322950748,0.454791818,38.43614234
2,77,85.88455759,39.90375046,15896.82428,6.124955302,0.401074528,32.62705304
2,79,85.88455759,37.96375046,12393.77285,4.479241016,0.322712667,34.22705304
2,80,85.9691558,32.45375046,16191.56714,5.039241016,0.425955506,31.96419589
2,82,78.88455759,38.27191678,16592.82746,5.836019843,0.394695779,33.5025328
2,83,NA,NA,NA,NA,NA,NA
2,84,78.99498253,32.11191678,15627.63889,4.498876986,0.334021007,36.81681852
2,85,86.04344111,33.92375046,17553.08714,5.736383873,0.368349716,48.42133875
2,86,91.88455759,32.00817932,20445.18564,6.578328552,0.409287626,60.5411316
2,87,86.1790241,35.83375046,12551.81857,4.273526731,0.39194845,29.76991018
2,88,72.88455759,32.95748792,12756.99181,3.405503736,0.358359753,32.31988281
2,90,70.99498253,13.3126783,31371.40088,3.437236462,0.403253357,106.4589995
2,91,71.03179084,30.9226783,22379.22946,6.122950748,0.44216046,41.20185663
2,92,89.99498253,28.5533697,14850.95471,4.187204135,0.416220372,47.74310541
2,93,NA,NA,NA,NA,NA,NA
2,94,85.88455759,32.59375046,17888.41285,5.610669588,0.394301302,48.66133875
2,95,92.03179084,27.42817932,17580.83136,4.852614266,0.392613788,54.02684588
2,98,86.04344111,34.07375046,13262.82428,4.296383873,0.305627146,22.94705304
2,100,72.99498253,30.50748792,13924.7861,3.451218021,0.416223555,45.65702567
2,101,78.9691558,36.18191678,11205.73032,3.516019843,0.327170023,33.31967566
2,102,92.04344111,33.47817932,17125.85993,5.766899981,0.396960723,42.01541731
2,103,73.04344111,35.80748792,14377.76896,4.365503736,0.418340805,42.86845424
2,104,92.9691558,36.53558413,22342.3754,8.231033617,0.413086799,45.5344304
2,105,91.88455759,34.50817932,18198.31707,6.315471409,0.439828152,53.21541731
2,106,73.04344111,32.46748792,17737.01467,5.005503736,0.388164059,51.39416853
2,108,92.1790241,25.96817932,20846.6485,5.446899981,0.371894245,60.88398874
2,109,79.04344111,34.24191678,17585.23889,5.516019843,0.374818098,33.87967566
2,111,86.03179084,35.87375046,14718.52714,5.062098159,0.405198719,39.30133875
2,113,85.99498253,31.40375046,12700.33285,3.759241016,0.376318893,31.28991018
2,114,78.9691558,33.64191678,12128.86175,3.538876986,0.309308792,35.31967566
2,115,99.99498253,26.76741781,17826.40651,5.137111933,0.357486012,42.30466492
2,116,89.9691558,37.8233697,14434.97757,5.410061278,0.403957481,76.60024827
2,117,79.03179084,36.38191678,13840.75889,4.510305557,0.354442201,31.39967566
2,118,85.9691558,33.62375046,19733.88714,6.422098159,0.40109838,58.35276732
2,119,85.99498253,35.27375046,15444.26428,5.222098159,0.411867611,50.40991018
2,120,99.88455759,15.76741781,21799.25222,3.799969076,0.254128537,56.2703792
2,122,91.99498253,34.22817932,16655.74564,5.732614266,0.411399441,42.90684588
2,123,85.9691558,33.59375046,14765.25857,4.730669588,0.375503475,35.22133875
2,125,91.88455759,33.80817932,14177.07136,4.829757124,0.457152042,50.0611316
2,126,91.99498253,24.87817932,23671.53993,5.915471409,0.370763278,65.80970303
2,127,92.1790241,30.62817932,20893.71136,6.429757124,0.400851774,60.3011316
2,128,100.0317908,30.32741781,23198.30365,7.377111933,0.434966081,51.5503792
2,129,100.0317908,25.17741781,26443.68651,6.988540505,0.366230584,50.20180777
2,131,86.1790241,35.37375046,16838.13857,5.736383873,0.43933556,50.67276732
2,133,93.03179084,30.22558413,16600.59254,5.099605046,0.39363721,39.91157326
2,134,92.1790241,27.85817932,23152.84279,6.475471409,0.409051417,62.42684588
2,135,91.99498253,22.56817932,26642.51136,6.041185695,0.368149536,63.04398874
2,136,72.88455759,31.47748792,12771.68896,3.222646593,NA,NA
2,137,71.1790241,32.0526783,15836.02946,4.214379319,0.339134953,32.00185663
2,138,70.88455759,34.2926783,22122.60088,6.797236462,0.4243431,33.12185663
2,140,99.88455759,NA,NA,7.35425479,NA,NA
2,141,71.04344111,37.8726783,15928.58946,5.18580789,0.450360677,32.83614234
2,142,99.88455759,34.37741781,20642.47508,7.445683362,0.454460552,44.56752206
2,143,70.88455759,37.3226783,21053.81231,7.060093605,0.413500457,32.11614234
2,145,90.04344111,27.9633697,20682.93186,5.730061278,0.416796392,53.25167684
2,146,79.1790241,38.73191678,12332.75889,4.247448414,0.38629136,35.54824709
2,147,86.1790241,35.08375046,18803.94428,6.387812445,0.4229044,51.20991018
2,148,90.03179084,40.8033697,14691.93757,5.947204135,0.394830239,26.70310541
2,149,106.0317908,24.26184667,13680.95073,3.979056612,0.374261201,91.52160062
2,150,92.9691558,34.32558413,14320.18111,4.996747903,0.371075051,43.92300183
2,151,91.88455759,30.62817932,17988.54564,5.538328552,0.418800492,65.4211316
2,152,72.88455759,33.68748792,15348.42039,4.39978945,0.39828091,42.2055971
2,153,72.9691558,32.78748792,18688.10039,5.382646593,0.393998939,44.50273996
2,155,105.9949825,29.31184667,16219.24787,5.384770898,0.43488564,68.47017205
2,156,NA,NA,NA,NA,NA,NA
2,157,90.04344111,39.5633697,13999.83471,5.490061278,0.360742649,29.84596255
2,158,72.88455759,31.87748792,17080.18039,4.685503736,0.42074787,34.87988281
2,160,66.04344111,33.03565424,NA,NA,NA,NA
2,161,105.9691558,27.18184667,21488.27644,6.436199469,0.398812178,47.57874348
2,162,65.9691558,36.65565424,18385.46355,5.710853991,0.442884761,41.96107687
2,163,65.99498253,30.89565424,21792.76641,5.733711134,0.438220835,46.95536258
2,164,73.03179084,33.68748792,13150.87753,3.634075164,0.348580908,33.7255971
2,165,NA,NA,NA,NA,NA,NA
2,166,105.8845576,23.78184667,36360.65358,9.144770898,0.392060023,61.30445776
2,167,93.1790241,29.02558413,27533.24397,8.059605046,0.419706369,53.64871611
2,169,72.9691558,36.26748792,14210.74039,4.376932307,0.398366677,35.57702567
2,170,70.88455759,35.0326783,15980.3266,4.740093605,0.403446194,43.88757091
2,171,73.04344111,35.09748792,14803.1061,4.411218021,0.430907106,37.8855971
2,172,89.99498253,31.9333697,13194.36043,4.164346993,0.387659985,44.46310541
2,173,92.04344111,26.37817932,20587.81422,5.458328552,0.372335396,60.39256017
